index,name,population,density,land-size,median_age,urban_pop,image_url,latitude,longitude
133,Argentina,"45,195,774",17,"2,736,690",32,93 %,https://www.worldometers.info/img/flags/ar-flag.gif,-38.416097,-63.616672
134,Sudan,"43,849,260",25,"1,765,048",20,35 %,https://www.worldometers.info/img/flags/su-flag.gif,12.862807,30.217636
135,Iraq,"40,222,493",93,"434,320",21,73 %,https://www.worldometers.info/img/flags/iz-flag.gif,33.223191,43.679291
136,Poland,"37,846,611",124,"306,230",42,60 %,https://www.worldometers.info/img/flags/pl-flag.gif,51.919438,19.145136
137,Morocco,"36,910,560",83,"446,300",30,64 %,https://www.worldometers.info/img/flags/mo-flag.gif,31.791702,-7.09262
138,Uzbekistan,"33,469,203",79,"425,400",28,50 %,https://www.worldometers.info/img/flags/uz-flag.gif,41.377491,64.585262
139,Angola,"32,866,272",26,"1,246,700",17,67 %,https://www.worldometers.info/img/flags/ao-flag.gif,-11.202692,17.873887
140,Mozambique,"31,255,435",40,"786,380",18,38 %,https://www.worldometers.info/img/flags/mz-flag.gif,-18.665695,35.529562
141,Yemen,"29,825,964",56,"527,970",20,38 %,https://www.worldometers.info/img/flags/ym-flag.gif,15.552727,48.516388
142,Venezuela,"28,435,940",32,"882,050",30,N.A.,https://www.worldometers.info/img/flags/ve-flag.gif,6.42375,-66.58973
143,Cameroon,"26,545,863",56,"472,710",19,56 %,https://www.worldometers.info/img/flags/cm-flag.gif,7.369722,12.354722
144,North Korea,"25,778,816",214,"120,410",35,63 %,,40.339852,127.510093
145,Niger,"24,206,644",19,"1,266,700",15,17 %,https://www.worldometers.info/img/flags/ng-flag.gif,17.607789,8.081666
146,Sri Lanka,"21,413,249",341,"62,710",34,18 %,https://www.worldometers.info/img/flags/ce-flag.gif,7.873054,80.771797
147,Mali,"20,250,833",17,"1,220,190",16,44 %,https://www.worldometers.info/img/flags/ml-flag.gif,17.570692,-3.996166
148,Malawi,"19,129,952",203,"94,280",18,18 %,https://www.worldometers.info/img/flags/mi-flag.gif,-13.254308,34.301525
149,Kazakhstan,"18,776,707",7,"2,699,700",31,58 %,https://www.worldometers.info/img/flags/kz-flag.gif,48.019573,66.923684
150,Guatemala,"17,915,568",167,"107,160",23,52 %,https://www.worldometers.info/img/flags/gt-flag.gif,15.783471,-90.230759
151,Syria,"17,500,658",95,"183,630",26,60 %,https://www.worldometers.info/img/flags/sy-flag.gif,34.802075,38.996815
152,Senegal,"16,743,927",87,"192,530",19,49 %,https://www.worldometers.info/img/flags/sg-flag.gif,14.497401,-14.452362
153,Chad,"16,425,864",13,"1,259,200",17,23 %,https://www.worldometers.info/img/flags/cd-flag.gif,15.454166,18.732207
154,Zimbabwe,"14,862,924",38,"386,850",19,38 %,https://www.worldometers.info/img/flags/zi-flag.gif,-19.015438,29.154857
155,Rwanda,"12,952,218",525,"24,670",20,18 %,https://www.worldometers.info/img/flags/rw-flag.gif,-1.940278,29.873888
156,Burundi,"11,890,784",463,"25,680",17,14 %,https://www.worldometers.info/img/flags/by-flag.gif,-3.373056,29.918886
157,Bolivia,"11,673,021",11,"1,083,300",26,69 %,https://www.worldometers.info/img/flags/bl-flag.gif,-16.290154,-63.588653
